,Date,Head,Text
274,17 Apr 2018,KLCI inches to highest since July 2014 but needs more convincing,KUALA LUMPUR: Petronas-linked stocks and Digi helped the FBM KLCI to scale to the highest since July 2014 on Tuesday but investors needed more convincing to put their money into the equities market as foreign funds and retail investors were net sellers.
275,17 Apr 2018,EPF outsources RM114b to external portfolio managers,"KUALA LUMPUR: The Employees Provident Fund (EPF) outsourced a total of RM114.56 billion to external portfolio managers as at Dec 31, 2017, an increase of 9.8 per cent from RM104.37 billion in 2016."
276,17 Apr 2018,MIER ups GDP growth to 5.5% for 2018,"KUALA LUMPUR: Malaysian Institute of Economic Research (MIER), has revised upwards its real gross domestic product (GDP) growth projection for Malaysia this year by 0.1 percentage point to 5.5 per cent from the previous 5.4 per cent."
277,17 Apr 2018,KLCI moves higher in late morning session,"KUALA LUMPUR: The FBM KLCI came back from the red in the morning session to move higher by 3.16 points to 1,881.92 points at midday."
278,17 Apr 2018,Ringgit opens higher against US dollar,"KUALA LUMPUR: The ringgit opened slightly higher against the US dollar on buying support for the local note, a dealer said."
279,17 Apr 2018,"Technical outlook for Bursa improving, says Kenanga Research","KUALA LUMPUR: The overall technical picture for Bursa Malaysia has been improving over the past two trading days and there is a possibility the FBM KLCI could test the previous high of around 1,880, Kenanga Research said."
280,17 Apr 2018,Malaysian palm oil price declines to one-month low on slowing demand growth,"KUALA LUMPUR: Malaysian palm oil futures fell to a one-month low on Monday evening, recording a sixth straight day of losses on expectations of slowing demand growth and tracking losses in related edible oils."
281,17 Apr 2018,Ongoing projects to add value to JB  ,"JOHOR BARU: With the aim to place Johor Baru on par with other international cities, Pulai MP Datuk Nur Jazlan Mohamed is gearing up to enhance its vibrancy under the Johor Baru transformation programme."
282,16 Apr 2018,Late push sees KLCI closing at highest since August 2014,"KUALA LUMPUR: Late fund buying of Genting Malaysia, Telekom Malaysia and Maybank enabled the FBM KLCI to close at its highest since Aug 20, 2014 on Monday."
283,16 Apr 2018,KLCI lifted by heavyweights Genting M'sia and Digi,KUALA LUMPUR: The local bourse moved higher on Monday morning along with regional markets as it appeared that last week's missile strikes against Syria would not escalate into further conflict with Russia.
284,16 Apr 2018,RAM Ratings expects inflation to climb to 1.6% in March,KUALA LUMPUR: RAM Ratings expects March headline inflation rate to edge up  to 1.6% in March due to an anticipated increase in the prices of food.
285,16 Apr 2018,Risk sentiment for ringgit remains fragile,"KUALA LUMPUR: The risk sentiment for the ringgit remains fragile and despite the improving prospects of trade and tariff war reconciliation, says OANDA heading of trading for Asia-Pacific Stephen Innes."
286,16 Apr 2018,SLP ups production capacity,"KULIM: SLP Resources Bhd’s new RM30mil plant will start production this month, raising its maximum production capacity to 27,000 tonnes this year, which will enable the company to penetrate the China healthcare sector."
287,15 Apr 2018,2.5 million passports issued annually,"MELAKA: The Immigration Department issues about 2.5 million passports annually, with about 542,000 being issued for the first three months of this year."
288,14 Apr 2018,How good is property as an asset class today?,"IN light of the current downturn, and the lack of direction and catalysts, questions abound as to how long the slowdown is going to be. Views differ. Some said 1½ years, others longer."
289,13 Apr 2018,"MISC, PChem and Astro push KLCI into the red","KUALA LUMPUR: Blue chips closed in the red on Friday, with MISC, Petronas Chemicals and Astro weighing on the FBM KLCI but the broader market displayed more resilience."
290,13 Apr 2018,Fiscal deficit plan unaffected by additional BR1M payout,KUALA LUMPUR: The additional 1Malaysia People’s Aid (BR1M) cash payout will not affect the government’s ambition to achieve a fiscal deficit of 2.8% in 2018.
291,13 Apr 2018,KLCI sees retracement after 6-day winning streak,KUALA LUMPUR: Bursa Malaysia turned lower on Friday as investors cashed in on some of th gains made in the previous sessions ahead of the US earnings season and digested data that showd China recorded a trade deficit of nearly US$5bil in March.
292,13 Apr 2018,India palm oil imports seen climbing as low prices boost demand,NEW DELHI: India’s palm oil imports probably advanced in March as a drop in prices boosted demand ahead of summer.
293,13 Apr 2018,"Sarawak police to deploy 7,000 personnel statewide for GE14","SIBU: The state police will be deploying 7,000 of its 9,000 personnel to all polling centres during the general election."
294,12 Apr 2018,Late fund push for KLCI on Thursday,"KUALA LUMPUR: Late fund buying pushed the FBM KLCI firmly into the positive zone on Thursday, with Axiata and KL Kepong underpinning the advance but the broader market displayed the cautious sentiment on geopolitical tensions."
295,12 Apr 2018,KLCI snaps three-days of gains as concern mounts over Syria,KUALA LUMPUR: The local bourse started on a positive note before slipping into the red by the late morning session as investors weighed in on the threat of US military action in Syria.
296,12 Apr 2018,US oil production hits a high,Prices remain on an uptrend despite the higher output from the US.
297,12 Apr 2018,Ringgit rises for 4th day as trade war tensions ease,"KUALA LUMPUR: The ringgit opened higher against the US dollar for the fourth consecutive day today on easing trade war concerns amid stronger oil prices, dealers said."
298,12 Apr 2018,Markets cautious on possible US-led air strike against Syria,"KUALA LUMPUR: Geopolitical worries cast a pall of gloom over key Asian markets on over the possibility of a US-led air strike against Syria while at Bursa Malaysia, the FBM KLCI managed to eke out small gains only."
299,12 Apr 2018,People will lose ‘without ECRL’,"KOTA BARU: Malaysians will be on the losing end if the Opposition comes into power and scraps the East Coast Rail Link (ECRL) project, says the Prime Minister."
300,11 Apr 2018,"Sapura Energy rallies, trading volume surges to 4.6b shares",KUALA LUMPUR: Sapura Energy shares rallied to a more than five week high on Wednesday as retail investors chased up the stock after its partners had taken the final investment decision to develop the gas fields off Sarawak.
301,11 Apr 2018,Najib: China offered us the best deal in ECRL project,"KOTA BARU: Malaysia engaged China to build the East Coast Rail Link (ECRL) because it offered the best deal, including a seven-year relief from servicing the loan, said Datuk Seri Najib Tun Razak."
302,11 Apr 2018,Bruno Mars concert will go on as planned,"PETALING JAYA: Fans of US singer Bruno Mars will still get to enjoy his 24K Magic World Tour concert as planned, despite it falling on the same day as polling day on May 9."
303,11 Apr 2018,KLCI rises as tensions ease over US-China trade conflict,KUALA LUMPUR: The local bourse continued its recovery on Wednesday on the back of optimism that US and China relations were on the mend following Chinese President Xi Jinping's conciliatory speech yesterday.
304,11 Apr 2018,Luno registers with Bank Negara as reporting body for digital currencies,"KUALA LUMPUR: Luno Malaysia, which is part of the London-based cyrptocurrency exchange, has formally registered with Bank Negara Malaysia as a reporting institution."
305,11 Apr 2018,Ringgit strengthens after China's conciliatory message,"KUALA LUMPUR: The ringgit opened higher against the US dollar today in line with most emerging Asian currencies and after China's President Xi Jinping pledged to reduce import tariffs and open the country's market further, dealers said."
306,11 Apr 2018,Kenanga maintains outperform on Power Root,KUALA LUMPUR: Kenanga Research has maintained outperform on Power Root Bhd with a lower target price of RM1.65 from RM2 as it revalues the stock as 15.0x price-earnings following the de-rating of small cap stocks.
307,11 Apr 2018,CIMB Research lowers Bursa target price after bonus issue,KUALA LUMPUR: CIMB Equities Research has cut its earnings per share (EPS) forecast for Bursa Malaysia for FY18-20F by circa 33% and lowered its target price from RM10.40 to RM6.90.   
308,11 Apr 2018,Massive logistics challenges in the interior,MIRI: Political parties and their ground workers will face massive logistical challenges getting essential supplies and campaign materials into Baram due to the rugged terrain and unpredictable weather.
309,10 Apr 2018,Yong Tai sets up RM1bil Sukuk programme,"KUALA LUMPUR: Tourism and cultural-related property developer Yong Tai Bhd, which is building the multi-billion ringgit Impression City in Melaka, has set up an Islamic medium term note programme of RM1bil in nominal value."
310,10 Apr 2018,"Sime, Press Metal stocks underpin KLCI rebound, foreigners net buyers","KUALA LUMPUR: Sime Darby, Press Metal and banks underpinned the FBM KLCI's rebound on Tuesday as key global equity markets rallied as the US-China trade row fears eased."
311,10 Apr 2018,Local bourse shows optimism over Xi's comments,KUALA LUMPUR: The local bourse received a lift along with other Asian markets as Chinese President Xi Jinping struck a conciliatory tone by promising to lower import tariffs on products. 
312,10 Apr 2018,Ringgit gains on US$ weakness,"KUALA LUMPUR: The US dollar weakness lifted the ringgit higher against the greenback at opening today but trading sentiment remained cautious amid the lingering trade war concerns, a dealer said."
313,10 Apr 2018,"Wong Engineering a turnaround story, says CIMB Research","KUALA LUMPUR: Wong Engineering Corporation Bhd, which makes high precision stamped and turned metal parts and components, is a turnaround story, says CIMB Equities Research."
314,10 Apr 2018,Lavish homes with scenic view ,"RISING high above Penang island’s southern coast, the lavish homes in Mah Sing Group’s billion-ringgit Southbay township ooze modern charm and sophistication."
315,9 Apr 2018,"Petronas stocks, Tenaga power KLCI to higher close",KUALA LUMPUR: Petronas-linked stocks and Tenaga Nasional powered the FBM KLCI to a higher close on Monday as investor sentiment perked up on expectations of little impact of US trade measures on China.
316,9 Apr 2018,"KLCI, Asian markets rebound at midday, ringgit up",KUALA LUMPUR: Bursa Malaysia joined the key Asian markets to climb higher at midday on Monday underpinned by a recovery in investor confidence while the ringgit advanced against the US dollar.
317,9 Apr 2018,Ringgit opens higher against US dollar,"KUALA LUMPUR: The ringgit opened higher against the US dollar today as the trade dispute between the US and China further pressured the greenback, dealers said."
318,9 Apr 2018,CIMB Research lowers MyEG to Hold as most good news priced in,KUALA LUMPUR: CIMB Equities Research has downgraded My EG Services from Add to Hold while maintaining the target price of RM3.04. The last traded price was RM2.79.
319,9 Apr 2018,Tech firms up prices on weaker dollar,GEORGE TOWN: At least two major semiconductor test-equipment and sensor manufacturers have raised selling prices to offset the impact of a weaker dollar.
320,8 Apr 2018,"Indonesian domestic helpers on sex abuse, slavery-like conditions they endure working overseas",Women tell heartbreaking stories about the sacrifices they make – and the dangers they face – toiling abroad to support families at home
321,7 Apr 2018,"Ipoh Timur after delineation: MCA hopeful, DAP cautiously optimistic","IN THE last three elections, voters in the Ipoh Timur parliamentary seat and its three state constituencies — Canning, Tebing Tinggi and Pasir Pinji — have favoured the Opposition."
322,6 Apr 2018,Room for ringgit to hover around RM3.90 against US dollar this year ,"PETALING JAYA: There ringgit could hover between RM3.80 and RM3.90 level against the greenback this year, said  Sunway University Business School economics Prof Dr Yeah Kim Leng."
323,6 Apr 2018,"KLCI closes shade higher on telcos, CIMB","KUALA LUMPUR: Blue chips ended a volatile Friday just a shade higher, thanks to fund buying of telcos and CIMB, but the broader market was cautious as US raised the stakes in its trade war with China."
324,6 Apr 2018,Najib: Politics is not just about making promises,"PETALING JAYA: Politics is not just about making promises but about fulfilling them, said Datuk Seri Najib Tun Razak."
325,6 Apr 2018,Ambank Research sees ringgit firming against US$ to 3.760 by end-2018,KUALA LUMPUR: Ambank Economic Research forecasts the US$/ringgit to be on an appreciation mode for 2018 and 2019 due to the stronger economic growth which is expected to broaden across the sectors amid some volatility.
326,6 Apr 2018,KLCI slightly lower at midday following election announcement,KUALA LUMPUR: The local bourse held relatively steady following the announcement by Prime Minister Datuk Seri Najib Razak that Parliament would be dissolved tomorrow to make way for the 14th general election.
327,6 Apr 2018,Ringgit slips on expectations of election announcement,"KUALA LUMPUR: The ringgit reversed yesterday's gains against the US dollar at the opening, pending an election announcement coupled with the United States and China trade war rhetoric framing regional risk sentiment."
328,6 Apr 2018,Analyst Reports,FINDINGS from a veteran with more than 30 years of international and consultancy experience with UOB Kay Hian and other investors reveal that global activities are picking up.
329,5 Apr 2018,KLCI rebounds as US-China trade wars ease,"KUALA LUMPUR: Blue chips rebounded on Thursday to recoup two-thirds of the previous day's losses as the US-China trade wars eased, with Genting Malaysia and banks shoring up the FBM KLCI."
330,5 Apr 2018,Number of ultra-wealthy Malaysians on the rise,"KUALA LUMPUR: The number of ultra-wealthy Malaysians rose 11 per cent to 310 last year, up from 280 in 2016, among the country's population of 31.19 million, according to Knight Frank's The Wealth Report 2018."
331,5 Apr 2018,KLCI sees retracement after previous selloff,KUALA LUMPUR: Global equity markets rebounded on Thursday following the sharp selloff in the previous session following an escalation of trade tensions between the US and China.
332,5 Apr 2018,Ringgit unchanged ahead of US payroll data,"KUALA LUMPUR: The ringgit remained unchanged against the US dollar today in remaining at Wednesday's price level and despite easing concerns of a trade war, which is deemed to benefit the local unit."
333,5 Apr 2018,"Labourer held for raping girlfriend’s daughter, 12",SIBU: A 23-year-old labourer has been detained for allegedly raping his girlfriend’s underaged daughter.
334,4 Apr 2018,Bursa heads for 3rd day of losses,"KUALA LUMPUR: By the end of the morning session, the local bourse was on track to its third consecutive day of losses as concerns over the US-China trade war continued and investors sat on the sidelines."
335,4 Apr 2018,Ringgit rises against US$ ahead of US jobs report,KUALA LUMPUR: The ringgit was slightly higher against the US dollar at opening today on the back of a recovery in demand for the local note.
336,4 Apr 2018,IGP: Sarawak police monitoring individuals likely to disrupt GE14,SIBU: Police have identified more than 100 individuals in the state who are likely to cause trouble during the general election.
337,3 Apr 2018,Four women accuse canteen operator of molesting them,SIBU: The case of a 42-year-old canteen operator arrested for repeatedly raping an Indonesian worker since November 2016 has taken another turn as four of his staff have accused him of molesting them.
338,3 Apr 2018,"KLCI slips as Nestle, telcos weigh",KUALA LUMPUR: The local market joined other Asian markets lower at midday as a diminished outlook on global tech giants pulled markets lower.
339,3 Apr 2018,Ringgit slips amid conflicting market signals,"KUALA LUMPUR: The ringgit opened lower against the US dollar today amidst contradictory signals abounding and with markets positioning for a trade war to escalate, lower oil prices as well as domestic headwinds starting to blow, a dealer said."
340,3 Apr 2018,Market to remain volatile,Maybank Investment Bank not expecting any major shock from polls
341,2 Apr 2018,"Police bust drug lab in hole under terrace house, seize RM1.27mil of drugs",KUALA LUMPUR: Police have uncovered an underground drug lab under a terrace house here.
342,2 Apr 2018,Salleh Said: Fake news undermines democracy,Statement in full by Communications and Multimedia Minister Datuk Seri Dr Salleh Said Keruak.
343,2 Apr 2018,"Bursa ends first day of Q2 on weak note, late selling","KUALA LUMPUR: Blue chips ended Monday, the first trading day of the second quarter on a weak note on late selling pressure with Petronas Dagangan and Telekom Malaysia among the decliners."
344,2 Apr 2018,Malaysia's PPI  likely to be in negative trajectory this year,"PETALING JAYA: The country’s Producer Price Index (PPI) for this year is most likely be in the negative trajectory, a trend which was last witnessed in 2015."
345,2 Apr 2018,"KLCI, ringgit up but small caps battered ahead of GE",PETALING JAYA: The trading volume on Bursa Malaysia in March dropped 45% from January with trading in small cap stocks showing the most decline. 
346,2 Apr 2018,Most emerging Asian currencies slip on a steady dollar,BENGALURU: Most emerging Asian currencies inched lower on Monday against a dollar that held steady with traders cautious amid lingering concerns over a U.S.-China trade dispute.  
347,2 Apr 2018,Canteen operator arrested for daily rapes of young Indonesian worker since 2016,SIBU: A 43-year-old canteen operator has been arrested for allegedly repeatedly raping his Indonesian worker on a daily basis since November 2016.
348,2 Apr 2018,KLCI brought lower by banks and telcos ,"KUALA LUMPUR: The local market was among the laggards in Monday morning trade, even as most Asian markets received a lift from the rebound in technological stocks in the US on Thursday."
349,2 Apr 2018,"KLCI, ringgit up but small caps battered ahead of GE",Sentiments on small cap stocks are weak
350,2 Apr 2018,Ringgit buoyed by stable local bond markets,"KUALA LUMPUR: The ringgit strengthened further against the US dollar today on renewed buying interest for the local unit, said a dealer.  "
351,2 Apr 2018,KLCI starts April on downbeat note as Maybank weighs,KUALA LUMPUR: Blue chips kicked off the new month of April on a downbeat note in the absence of strong fresh catalysts to spur buying interest as investors kept their eyes on the fresh developments from the General Election which is expected to be announced soon.
352,2 Apr 2018,MBAM sees RM180bil worth of construction jobs this year,"GEORGE TOWN: The Master Builders Association Malaysia (MBAM) is projecting that the values of construction jobs awarded in 2017 and 2018 would be about RM170bil and RM180bil, respectively."
353,31 Mar 2018,"Why hide if you are not guilty, Ti asks Lim ","PETALING JAYA: The absence of Lim Guan Eng and his father Lim Kit Siang at the MCA-organised Penang Undersea Forum raises questions, said MCA publicity spokesperson Datuk Seri Ti Lian Ker. "
354,31 Mar 2018,Malaysia and Thailand to beef up fight against cross-border drug activities,"JOHOR BARU: Malaysia will enhance its cooperation with Thailand to prevent cross-border drug smuggling activities, said Datuk Nur Jazlan Mohamed."
355,31 Mar 2018,Treasury Pulse,"AS US-China trade tensions began to ease, the US dollar this week was mostly influenced by vital economic data which came in abundance."
356,30 Mar 2018,OPR to stay above inflation level in 2018,"PETALING JAYA: The overnight policy rate (OPR) is expected to stay above the inflation level throughout the year, according to AmInvestment Research. "
357,30 Mar 2018,"Blue chips end volatile March on firm note, Nestle, Dialog at record highs","KUALA LUMPUR: Blue chips capped a volatile March, roiled by threats by US President Donald Trump's trade war threats, on a positive note on Friday, on fund buying of Petronas Chemicals, Maybank and Nestle."
358,30 Mar 2018,"Dialog at record high midday, KLCI firmer",KUALA LUMPUR: Shares of Dialog Group hit a record high at midday on Friday on expectations it could be included into the FBM KLCI's 30-stock index while the broader market was mixed with cosumer stocks higher and steel and aluminum producers under pressure.
359,30 Mar 2018,Ringgit higher on continued greenback woes,KUALA LUMPUR: The ringgit opened higher against the US dollar today on increased demand and amid an underperforming greenback.
360,30 Mar 2018,"Trading ideas: Yinson, Crescendo, Prestariang, Hiap Teck, Sapura Energy","KUALA LUMPUR: JF Apex Research expects Yinson, Crescendo, Prestariang, Hiap Teck, Sapura Energy and Farlim to be among the stocks to watch on Friday after their corporate announcements."
361,30 Mar 2018,Malaysian palm oil price falls for third session on weakness in related oils,"KUALA LUMPUR: Malaysian palm oil futures fell on Thursday in its third straight session of declines, tracking weakness in related oils on the U.S. Chicago Board of Trade and China's Dalian  Commodity Exchange."
362,30 Mar 2018,Permodalan Nasional sells key London property,"KUALA LUMPUR: Government-linked asset manager Permodalan Nasional Bhd (PNB) has sold one of its key London properties, a commercial building called 90 High Holborn, for an undisclosed sum, driven in part by an impending rise in capital gains tax in Britain."
363,29 Mar 2018,Tenaga shores up KLCI in cautious market,"KUALA LUMPUR: Fund buying of Tenaga Nasional helped shore up the FBM KLCI on Thursday amid the selling pressure piling on Press Metal, Petronas Chemicals and Maxis."
364,29 Mar 2018,"KLCI erases losses by midday, TNB lifts",KUALA LUMPUR: Global equity markets were pulled lower by as the tech-led retreat on Wall Street continued over new regulatory requirements on the sector.
365,29 Mar 2018,Ringgit marginally lower as geopolitical tensions ease,KUALA LUMPUR: The ringgit opened marginally lower against the US dollar today on lack of demand.
366,29 Mar 2018,Malaysian palm oil/Vegoils: Market factors to watch Thursday Mar 29,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Thursday March 29.
367,29 Mar 2018,"CIMB Research upgrades Astro to add, target price of RM2.70",KUALA LUMPUR: CIMB Equities Research has upgraded Astro Malaysia to Add with a lower sum-of-parts target price of RM2.70 in view of the recent selldown.
368,29 Mar 2018,Malaysian palm oil price slips as ringgit surges to 2-year high,KUALA LUMPUR: Malaysian palm oil futures edged lower on Wednesday evening as the ringgit strengthened further and hit its highest in nearly two years.
369,29 Mar 2018,CID chief returns west with new posting,SIBU: CID chief Deputy Supt Yeoh Chun Shyan will be transferred to Melaka to head the Crime Prevention and Community Safety Department.
370,28 Mar 2018,"No respite for Asian markets, KLCI slides as GentingM hit","KUALA LUMPUR: Key Asian markets and European bourses fell on Wednesday on worries about the US-China trade war with the FBM KLCI extending its decline, weighed by Genting Malaysia and Sime Plantations."
371,28 Mar 2018,10 key takeaways from Bank Negara,Some of the salient points found in this year's economic outlook
372,28 Mar 2018,Labourer held over alleged statutory rape after teen gives birth  ,SIBU: A labourer has been detained for raping a teenager who gave birth through a caesarian operation.
373,28 Mar 2018,Thai police discover lorry of fruits with drugs hidden inside going to Malaysia,"BANGKOK: Thai police have found a lorry with special fruits being sent to Malaysia - pineapples and watermelons with a side dish of ""ice""."
374,28 Mar 2018,Rahman Dahlan: Penang tunnel issue is no trivial matter,"PETALING JAYA: The controversy behind the Penang undersea tunnel project is not a trivial matter as it involves billions of ringgit of the people's money and assets, said Datuk Seri Abdul Rahman Dahlan."
375,28 Mar 2018,KLCI slumps amid US tech pullback,KUALA LUMPUR: The local market slumped along with other Asian markets on the heels of the sharp pullback on Wall Street overnight as tech stocks were hit by concerns over tighter regulatory controls.
376,28 Mar 2018,Ringgit higher on shaky US equity markets,KUALA LUMPUR: The ringgit opened higher against the US dollar today on buying interest and amid shaky US equity markets in overnight trade.
377,28 Mar 2018,Malaysian palm oil/Vegoils: Market factors to watch Wednesday Mar 28,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Wednesday March 28.
378,28 Mar 2018,Affin Hwang maintains buy on YTL REIT,KUALA LUMPUR: Affin Hwang Capital Research has reiterated its buy rating on YTL Hospitality REIT with a lower price target of RM1.35 from RM1.61 after incorporating its revised earnings forecasts and raising the cost of equity. 
379,28 Mar 2018,"Malaysian palm oil price down on stronger ringgit, production outlook",KUALA LUMPUR: Malaysian palm oil futures edged down at the end of the trading day on Tuesday as a stronger ringgit and expectations of a rise in output in the coming months weighed on the edible oil's prices.
380,28 Mar 2018,Mother in custody for leaving children home alone,SIBU: A woman is in custody for allegedly leaving her two children without adult supervision when going to work every day.
381,27 Mar 2018,KLCI jumps on hopes trade war could be averted,KUALA LUMPUR: The local market rose in unison with Asian markets on Tuesday as reports of talks between the US and China raised hopes that a trade war between the two global giants could be averted. 
382,27 Mar 2018,Ringgit may rise towards 3.87,"KUALA LUMPUR: The ringgit opened higher against the US dollar today on increased demand and amid encouraging crude oil prices, said a dealer."
383,27 Mar 2018,CIMB Research positive on Uchitec’s 20c capital repayment,KUALA LUMPUR: CIMB Equities Research is positive on Uchi Technologies’ proposed capital repayment of up to RM90.4mil on the basis of 20 sen a share via a reduction of share capital. 
384,27 Mar 2018,Palm rebounds from one-week low to edge up on export data,"KUALA LUMPUR: Malaysian palm oil futures rebounded from losses earlier in the day to rise on Monday evening, lifted by improving export data and technical buying."
385,27 Mar 2018,From top singer to shopping mall janitor,POPULAR ’90s singer Alina Hassan has revealed her rocky life journey to Sinar Harian after taking a break from the entertainment industry several years ago.
386,26 Mar 2018,"KLCI, Asian markets close off day's worst, Astro all-time low",KUALA LUMPUR: Bursa Malaysia and key Asian markets managed to close off their day's low on Monday as investors' fears of an all-out trade war between the US and China abated.
387,26 Mar 2018,UOB says inflows into ringgit should resume after elections,KUALA LUMPUR: UOB Malaysia’s economist Julia Goh said that flows into the ringgit would likely resume after the impending general elections.
388,26 Mar 2018,"Sell-off in Asia continues, KLCI dn nearly 8pt midday","KUALA LUMPUR: China, which is the target of US trade tariffs, racked up more losses at midday on Monday and cast a pall of gloom over most of the key Asian markets including Bursa Malaysia."
389,26 Mar 2018,Ringgit rises against US$ amid trade war implications ,"KUALA LUMPUR: The ringgit was slightly higher against the US dollar in the morning session today on increased demand, said a dealer."
390,26 Mar 2018,"Let’s look at lungs, closely","PETALING JAYA: Lung cancer is the third most common cancer in Malaysia, accounting for 19.8% of all medically certified cancer mortality in this country (Second Report of the National Cancer Registry, Cancer Incidence in Malaysia)."
391,24 Mar 2018,"Ringgit strengthened 14.6 pct in 2017, most stable in region","KUALA LUMPUR: The ringgit strengthened 14.6 per cent in 2017 and has been the most stable currency in the region as economic outlook remains strong, said Bank Negara Malaysia (BNM) Governor, Tan Sri Muhammad Ibrahim."
392,24 Mar 2018,Treasury Pulse,"THE US Federal Reserve raised interest rates by 25 basis points (bps) on Thursday as largely anticipated by the markets but with a less aggressive tone on the monetary policy trajectory for the rest of 2018, effectively quieting expectations of a fourth hike."
393,23 Mar 2018,"Malaysia vulnerable to US trade protectionism, China slowdown: Nomura",KUALA LUMPUR: China's move to throw down the gauntlet in the ensuing trade war with the US will leave Malaysia's highly open economy vulnerable as exports account for 71% of the country's gross domestic product (GDP).
394,23 Mar 2018,Ringgit opens slightly higher against US dollar,"KUALA LUMPUR: The ringgit was slightly higher against the US dollar in the morning session on sustained demand for the local unit, said a dealer."
395,23 Mar 2018,Fears of taper tantrum fizzles out,The ringgit is at RM3.90 against the US dollar and dealers are looking at further strengthening of the local currency against the greenback.
396,23 Mar 2018,Room for improvement in Gelang Patah,"GELANG PATAH: Loosely translated, “gelang patah” means broken bracelet in Malay, the name is believed to have been given by the first Johor mentri besar Datuk Jaafar Muhammad."
397,22 Mar 2018,KLCI up 11 points on sustained fund buying of banks,"KUALA LUMPUR: Fund buying of bank stocks pushed the FBM KLCI to a firmer close on Thursday, making the FBM KLCI the second best performer among the key Asian markets."
398,22 Mar 2018,KLCI edges higher after Fed raises rates; ringgit higher,KUALA LUMPUR: Bursa Malaysia traded higher on Thursday after the U.S. Federal Reserve raised interest rates for the first time this year. 
399,22 Mar 2018,Ringgit opens higher against US dollar,"KUALA LUMPUR: The ringgit strengthened against the US dollar in the early session on renewed buying interest, said a dealer."
400,22 Mar 2018,Maybank Research starts coverage of MMS Ventures with buy call,"KUALA LUMPUR: Maybank Investment Bank Research has started coverage of MMS Ventures, which designs and manufactures customised semiconductor automation equipment, with a buy call and target price of RM2.02.  The last traded price was RM1.37. "
401,22 Mar 2018,Take steps now to improve quality of healthcare,THE poor conditions of urban polyclinics and rural clinics in Sarawak is getting from bad to worse.
402,21 Mar 2018,Petronas raises 2018 spending for upstream work,"KUALA LUMPUR: Petroliam Nasional Berhad (Petronas) is increasing capital expenditure for upstream activities slightly in 2018 from last year, upstream chief executive Mohd Anuar Taib said on Wednesday."
403,21 Mar 2018,"Malaysia’s debt-to-GDP ratio runs high among A-rated sovereigns, says Moody's","KUALA LUMPUR: Malaysia’s government debt to gross domestic product ratio of 51 percent is ”quite high” compared with other countries with an ”A” sovereign credit rating, Moody’s Investors Service said."
404,21 Mar 2018,Consumer stocks top gainers but can they hold?,"KUALA LUMPUR: Consumer stocks were among the top gainers on Wednesday, rebounding from last week's heavy profit taking, leaving investors concerned if there could be another pullback."
405,21 Mar 2018,"Civil servant arrested for raping teen, claims they’re married (corrected)","SIBU: A civil servant has been arrested for the rape of an underage girl two years ago, following a police report filed by the girl's grandmother, although the victim says they are married."
406,21 Mar 2018,Ringgit opens lower against US dollar,"KUALA LUMPUR: The ringgit eased against the US dollar in the early session on lack of buying interest, said a dealer."
407,21 Mar 2018,Villagers and volunteers from NGOs collect 800kg of rubbish in joint effort,KOTA KINABALU: There is money to be made by keeping your surroundings clean and collecting recyclable items.
408,20 Mar 2018,Public Bank's record high close powers FBM KLCI to firm close,KUALA LUMPUR: The FBM KLCI bucked the cautious key Asian markets on Tuesday as late buying sent Public Bank to a fresh record close but the broader market was weaker.
409,20 Mar 2018,"Nestle, Genting drag KLCI into the red at midday","KUALA LUMPUR: Key Asian markets were in a sea of red, with Bursa Malaysia following suit in the morning session on Tuesday, with the FBM KLCI weighed down by Nestle and Genting Bhd, on rising worries about the fallout from the US trade wars."
410,20 Mar 2018,Ringgit opens higher against US dollar,KUALA LUMPUR: The ringgit rebounded to open higher against the US dollar today ahead of the US Federal Open Market Committee later today.
411,20 Mar 2018,Ringgit higher against US$ ahead of US Fed meeting,KUALA LUMPUR: The ringgit rebounded to be higher against the US dollar early Tuesday ahead of the US Federal Open Market Committee meeting later Tuesday.
412,20 Mar 2018,Poh Huat shares drop 15% as Q1 net profit slumps,"KUALA LUMPUR:  Poh Huat Resources Bhd dropped more than 15% in early trade after the company reported a 64.7% decline in net profit for the first quarter ended Jan 31, 2018."
413,20 Mar 2018,Malaysian palm oil/Vegoils: Market factors to watch Tuesday Mar 20,KUALA LUMPUR: The following factors are likely to influence Malaysian palm oil futures and other vegetable oil markets on Tuesday March 20
414,20 Mar 2018,"Malaysian palm oil price edges up supported by weaker ringgit, rising demand","KUALA LUMPUR: Malaysian palm oil futures edged up on Monday supported by weakness in the ringgit , its currency of trade, and with traders bullish about the prospects of improving demand."
415,19 Mar 2018,Ringgit ends easier against US dollar,"KUALA LUMPUR: The ringgit ended easier against the US dollar today on lack of buying interest, a dealer said."
416,19 Mar 2018,"Digi, Public Bank support KLCI's slim gains, foreign funds net buyers","KUALA LUMPUR: Digi and Public Bank helped shore up the FBM KLCI at the close of trade on Monday, thanks to foreign fund buying while key Asian markets."
417,19 Mar 2018,"KLCI slightly higher on Digi, banks at midday",KUALA LUMPUR: Some fund buying of Digi and selected banks helped underpin the FBM KLCI's gains at midday while the broader market was cautious.
